year,month,soil_moisture,oblast
2014,8,0.028350806451612903,Atyrauskaya
2014,9,0.03824027777777778,Atyrauskaya
2014,10,0.09641129032258065,Atyrauskaya
2014,11,0.14631388888888888,Atyrauskaya
2014,12,0.15416532258064516,Atyrauskaya
2015,1,0.1991733870967742,Atyrauskaya
2015,2,0.19718005952380951,Atyrauskaya
2015,3,0.18399865591397851,Atyrauskaya
2015,4,0.07470972222222222,Atyrauskaya
2015,5,0.08481451612903226,Atyrauskaya
2015,6,0.03341388888888889,Atyrauskaya
2015,7,0.040251344086021504,Atyrauskaya
2015,8,0.02778763440860215,Atyrauskaya
2015,9,0.03639722222222222,Atyrauskaya
2015,10,0.04633736559139785,Atyrauskaya
2015,11,0.14070555555555556,Atyrauskaya
2015,12,0.19688978494623655,Atyrauskaya
2016,1,0.2306733870967742,Atyrauskaya
2016,2,0.24147988505747126,Atyrauskaya
2016,3,0.21744220430107525,Atyrauskaya
2016,4,0.1348638888888889,Atyrauskaya
2016,5,0.13778091397849462,Atyrauskaya
2016,6,0.04857083333333334,Atyrauskaya
2016,7,0.038495967741935484,Atyrauskaya
2016,8,0.0331008064516129,Atyrauskaya
2016,9,0.06803055555555555,Atyrauskaya
2016,10,0.06138575268817204,Atyrauskaya
2016,11,0.11683750000000001,Atyrauskaya
2016,12,0.21547715053763442,Atyrauskaya
2017,1,0.17963440860215052,Atyrauskaya
2017,2,0.2010357142857143,Atyrauskaya
2017,3,0.17233602150537633,Atyrauskaya
2017,4,0.06797083333333333,Atyrauskaya
2017,5,0.038896505376344086,Atyrauskaya
2017,6,0.03487916666666667,Atyrauskaya
2017,7,0.031133064516129034,Atyrauskaya
2017,8,0.022896505376344085,Atyrauskaya
2017,9,0.011544444444444444,Atyrauskaya
2017,10,0.092877688172043,Atyrauskaya
2017,11,0.13127222222222223,Atyrauskaya
2017,12,0.12951209677419354,Atyrauskaya
2018,1,0.12718010752688172,Atyrauskaya
2018,2,0.12354166666666666,Atyrauskaya
2018,3,0.11086827956989248,Atyrauskaya
2018,4,0.04937777777777778,Atyrauskaya
2018,5,0.02565188172043011,Atyrauskaya
2018,6,0.03365555555555556,Atyrauskaya
2018,7,0.026413978494623656,Atyrauskaya
2018,8,0.029341397849462367,Atyrauskaya
2018,9,0.031218055555555554,Atyrauskaya
2018,10,0.04091263440860215,Atyrauskaya
2018,11,0.041075,Atyrauskaya
2018,12,0.11986827956989247,Atyrauskaya
2019,1,0.1469448924731183,Atyrauskaya
2019,2,0.12066964285714286,Atyrauskaya
2019,3,0.0778736559139785,Atyrauskaya
2019,4,0.07325555555555556,Atyrauskaya
2019,5,0.0523024193548387,Atyrauskaya
2019,6,0.02736111111111111,Atyrauskaya
2019,7,0.04718951612903226,Atyrauskaya
2019,8,0.02769758064516129,Atyrauskaya
2019,9,0.03576111111111111,Atyrauskaya
2019,10,0.04925672043010752,Atyrauskaya
2019,11,0.010591666666666668,Atyrauskaya
2019,12,0.07655645161290323,Atyrauskaya
2020,1,0.1102258064516129,Atyrauskaya
2020,2,0.1008433908045977,Atyrauskaya
2020,3,0.04315591397849462,Atyrauskaya
2020,4,0.05743472222222223,Atyrauskaya
2020,5,0.06589650537634409,Atyrauskaya
2020,6,0.026606944444444443,Atyrauskaya
2020,7,0.023637096774193546,Atyrauskaya
2020,8,0.042690860215053764,Atyrauskaya
2020,9,0.04785,Atyrauskaya
2020,10,0.026258064516129033,Atyrauskaya
2020,11,0.04370277777777778,Atyrauskaya
2020,12,0.058973118279569886,Atyrauskaya
2021,1,0.0876989247311828,Atyrauskaya
2021,2,0.10086160714285713,Atyrauskaya
2021,3,0.1401747311827957,Atyrauskaya
2021,4,0.03697638888888889,Atyrauskaya
2021,5,0.026236559139784947,Atyrauskaya
2021,6,0.03212361111111111,Atyrauskaya
2021,7,0.028096774193548387,Atyrauskaya
2021,8,0.01631720430107527,Atyrauskaya
2021,9,0.0335125,Atyrauskaya
2021,10,0.02826478494623656,Atyrauskaya
2021,11,0.12691805555555555,Atyrauskaya
2021,12,0.17026747311827958,Atyrauskaya
2022,1,0.20276075268817206,Atyrauskaya
2022,2,0.19004910714285714,Atyrauskaya
2022,3,0.19388575268817204,Atyrauskaya
2022,4,0.05784444444444445,Atyrauskaya
2022,5,0.09491666666666666,Atyrauskaya
2022,6,0.0323125,Atyrauskaya
2022,7,0.037413978494623655,Atyrauskaya
2022,8,0.027118279569892472,Atyrauskaya
2022,9,0.04469583333333333,Atyrauskaya
2022,10,0.061314516129032264,Atyrauskaya
2022,11,0.15989583333333332,Atyrauskaya
2022,12,0.12548655913978493,Atyrauskaya
2023,1,0.17652688172043007,Atyrauskaya
2023,2,0.19608333333333333,Atyrauskaya
2023,3,0.108002688172043,Atyrauskaya
2023,4,0.0718375,Atyrauskaya
2023,5,0.03990725806451613,Atyrauskaya
2023,6,0.031115277777777776,Atyrauskaya
2023,7,0.057028225806451616,Atyrauskaya
2023,8,0.033475806451612904,Atyrauskaya
2023,9,0.08826944444444444,Atyrauskaya
2023,10,0.15313709677419354,Atyrauskaya
2023,11,0.1920847222222222,Atyrauskaya
2023,12,0.2098024193548387,Atyrauskaya
2014,1,0.38304569892473117,Karagandinskaya
2014,2,0.37597023809523805,Karagandinskaya
2014,3,0.4361465053763441,Karagandinskaya
2014,4,0.44790555555555556,Karagandinskaya
2014,5,0.3196451612903226,Karagandinskaya
2014,6,0.28729444444444446,Karagandinskaya
2014,7,0.3131061827956989,Karagandinskaya
2014,8,0.2691491935483871,Karagandinskaya
2014,9,0.2847,Karagandinskaya
2014,10,0.4289462365591398,Karagandinskaya
2014,11,0.4381458333333333,Karagandinskaya
2014,12,0.4049879032258064,Karagandinskaya
2015,1,0.39226747311827964,Karagandinskaya
2015,2,0.4184702380952381,Karagandinskaya
2015,3,0.4393185483870968,Karagandinskaya
2015,4,0.4681305555555555,Karagandinskaya
2015,5,0.4095927419354839,Karagandinskaya
2015,6,0.32533055555555557,Karagandinskaya
2015,7,0.26930107526881725,Karagandinskaya
2015,8,0.24853225806451612,Karagandinskaya
2015,9,0.32279027777777775,Karagandinskaya
